district,Price,size, sold,target
全市,43713.75,2546.16,7,144平方米以上
南山,46702.51,151.04,1,144平方米以上
福田,118151.67,261.81,1,144平方米以上
宝安,34366.76,2133.31,5,144平方米以上
福田,103355.59,240.32,2,90~144平方米
宝安,48685.47,2277.71,21,90~144平方米
光明,37257.35,185.78,2,90~144平方米
龙岗,39559.36,808.55,8,90~144平方米
龙华,55794.8,2016.27,20,90~144平方米
罗湖,56039,121.04,1,90~144平方米
南山,66044.49,723.81,7,90~144平方米
坪山,36553.12,117.38,1,90~144平方米
全市,52461.16,6634.19,63,90~144平方米
深汕,14131.91,143.33,1,90~144平方米
全市,38961.77,4151.19,63,90平方米以下
宝安,38302.34,1557.56,30,90平方米以下
光明,40397.52,423.45,5,90平方米以下
龙岗,29669.7,1027.63,14,90平方米以下
龙华,53839.63,881.37,11,90平方米以下
罗湖,57988.75,84.9,1,90平方米以下
深汕,11957.23,176.28,2,90平方米以下
全市,112818.04,154.98,1,144平方米以上
宝安,112818.04,154.98,1,144平方米以上
福田,97180.2,118.63,1,90~144平方米
宝安,68158.99,787.09,7,90~144平方米
光明,39206.19,203.34,2,90~144平方米
龙岗,43400.03,315.83,3,90~144平方米
龙华,64097.44,438.45,4,90~144平方米
罗湖,82483.79,127.83,1,90~144平方米
南山,63305.02,494.49,5,90~144平方米
坪山,39117.17,92.64,1,90~144平方米
深汕,14284.36,498.6,5,90~144平方米
全市,54454.84,3076.9,29,90~144平方米
龙华,43653.63,460.61,8,90平方米以下
宝安,48736.6,255.87,3,90平方米以下
福田,44192.86,78.15,1,90平方米以下
光明,37384.82,468.5,8,90平方米以下
龙岗,20876,100.97,2,90平方米以下
全市,37165.92,2187.71,36,90平方米以下
罗湖,69353.19,149.37,3,90平方米以下
南山,49646.72,34.65,1,90平方米以下
坪山,22644.89,556.37,9,90平方米以下
深汕,11727,83.22,1,90平方米以下
全市,17447.34,8320.54,7,144平方米以上
南山,83545.37,458.06,2,144平方米以上
龙岗,7424,7359.72,2,144平方米以上
宝安,103954.13,502.76,3,144平方米以上
福田,93223.17,121.7,1,90~144平方米
宝安,76435.17,983.65,9,90~144平方米
光明,37803.58,192.8,2,90~144平方米
龙岗,39972.25,301.33,3,90~144平方米
龙华,60220.17,210.28,2,90~144平方米
南山,43645.16,93,1,90~144平方米
坪山,33330.86,184,2,90~144平方米
全市,61683.69,2086.76,20,90~144平方米
全市,40876.07,523.63,7,90平方米以下
宝安,40059.7,153.1,2,90平方米以下
光明,36777.33,81.24,1,90平方米以下
龙岗,21253.82,36.92,1,90平方米以下
龙华,51341.9,163.73,2,90平方米以下
坪山,34883.9,88.64,1,90平方米以下
全市,100872.76,328.9,2,144平方米以上
宝安,100872.76,328.9,2,144平方米以上
光明,40498.02,629.68,6,90~144平方米
宝安,55191.88,853.1,8,90~144平方米
龙岗,36831.2,885.51,8,90~144平方米
龙华,58567.24,893.47,8,90~144平方米
罗湖,71371.14,93.27,1,90~144平方米
南山,69278.36,328.8,3,90~144平方米
坪山,41961,116.02,1,90~144平方米
深汕,11135.81,94.59,1,90~144平方米
全市,49528.2,3894.44,36,90~144平方米
全市,34312.01,3677.35,51,90平方米以下
宝安,55195.6,1137.09,14,90平方米以下
光明,38517.48,356.87,4,90平方米以下
龙岗,18269.73,1889.59,29,90平方米以下
龙华,44719.91,121.19,2,90平方米以下
南山,80337.98,82.99,1,90平方米以下
坪山,34144.35,89.62,1,90平方米以下
全市,102859.12,406.69,2,144平方米以上
宝安,102859.12,406.69,2,144平方米以上
光明,39141.54,519.05,5,90~144平方米
宝安,56082.6,2005.29,19,90~144平方米
龙岗,30020.62,1181.33,12,90~144平方米
龙华,60356.35,1407.78,14,90~144平方米
罗湖,66707.26,121.15,1,90~144平方米
南山,82649.92,329.27,3,90~144平方米
坪山,33364.46,414.84,4,90~144平方米
全市,49090.27,6217.28,60,90~144平方米
深汕,11989.44,238.57,2,90~144平方米
全市,29242.29,4563.58,71,90平方米以下
宝安,50408.1,793.3,11,90平方米以下
光明,42097.53,252.24,4,90平方米以下
龙岗,13902,2594.86,42,90平方米以下
龙华,53778.67,788.78,12,90平方米以下
坪山,32357.28,134.4,2,90平方米以下
全市,35524.61,16922.1,36,144平方米以上
罗湖,56444.18,151.53,1,144平方米以上
龙岗,43792.38,145.85,1,144平方米以上
福田,32038,15594.46,29,144平方米以上
宝安,84052.23,1030.26,5,144平方米以上
福田,106878.31,124.32,1,90~144平方米
宝安,63744.28,1974.68,18,90~144平方米
光明,40899.33,939.83,9,90~144平方米
龙岗,39646.81,1776.77,16,90~144平方米
龙华,62239.85,2412.21,23,90~144平方米
罗湖,70012.83,93.27,1,90~144平方米
南山,88087.51,448.95,4,90~144平方米
坪山,36345.44,185.41,2,90~144平方米
全市,56690.11,7955.44,74,90~144平方米
龙岗,26602.48,1823.91,26,90平方米以下
全市,42940.05,7070.86,96,90平方米以下
大鹏,19601.48,89.42,1,90平方米以下
福田,62395.99,570.46,12,90平方米以下
光明,36821.54,745.07,9,90平方米以下
宝安,50840.83,1244.23,15,90平方米以下
龙华,52396.93,1459.27,17,90平方米以下
南山,70243.25,486.16,8,90平方米以下
坪山,34233.49,384.26,5,90平方米以下
深汕,12301.6,268.08,3,90平方米以下
全市,39474.47,3876.44,15,144平方米以上
南山,122738.06,188.75,1,144平方米以上
龙岗,45107.22,145.85,1,144平方米以上
福田,29454.27,2716.9,10,144平方米以上
宝安,52428.56,824.94,3,144平方米以上
福田,56444.31,374.79,3,90~144平方米
宝安,52545.2,3412.7,33,90~144平方米
光明,42313.62,443.98,4,90~144平方米
龙岗,40074.79,942.8,9,90~144平方米
龙华,60292.35,1240.7,12,90~144平方米
罗湖,61151.26,321.06,3,90~144平方米
南山,79692.6,585.39,6,90~144平方米
坪山,34609.82,313.15,3,90~144平方米
深汕,11619.71,127.55,1,90~144平方米
全市,52879.11,7762.12,74,90~144平方米
光明,37573.96,333.99,4,90平方米以下
